タイトル,発売日,カテゴリ,リンク種別,URL
"SEGA Archives - M2 Music Memorial -","2023.04.27","consumer","なし",""
"BAYONETTA 3 ORIGINAL SOUNDTRACK","2023.03.29","consumer","なし",""
"Technosoft Music Collection - ELEMENTAL MASTER -","2022.12.14","consumer","なし",""
"Mega Drive Mini 2 - Multiverse Sound World -","2022.11.24","consumer","なし",""
"Mega Drive Mini 2 - Celebration Album -","2022.10.27","consumer","なし",""
"DYNA BROTHERS 1 & 2 - Music Album -","2022.09.22","consumer","なし",""
"ALESTE COLLECTION - Music Album -","2022.04.21","consumer","なし",""
"Technosoft Music Collection - THUNDER FORCE I & II -","2022.02.24","consumer","なし",""
"Technosoft Music Collection - THUNDER FORCE IV -","2021.08.19","consumer","外部","https://archives.sega.jp/segaages/news/210720.shtml"
"BORDER BREAK MUSIC COLLECTION TYPE-05","2020.12.25","consumer","外部","http://ps4.borderbreak.com/news/2020-11-25-1"
"BORDER BREAK MUSIC COLLECTION TYPE-04","2020.08.31","consumer","外部","http://ps4.borderbreak.com/news/2020-08-21-4"
"Technosoft Music Collection − HERZOG & HERZOG ZWEI −","2020.08.27","consumer","外部","https://archives.sega.jp/segaages/news/200820.shtml"
"BORDER BREAK MUSIC COLLECTION TYPE-03","2020.04.28","consumer","外部","http://ps4.borderbreak.com/news/2020-04-14-2"
"Mega Drive Mini -Celebration Album-","2019.12.12","consumer","なし",""
"BORDER BREAK MUSIC COLLECTION TYPE-02","2019.08.31","consumer","外部","http://ps4.borderbreak.com/news/2019-08-01-1"
"BORDER BREAK MUSIC COLLECTION","2019.04.28","consumer","外部","http://ps4.borderbreak.com/news/2019-04-01-2"
"BAYONETTA 2 Original Soundtrack","2014.10.29","consumer","なし",""
"メガドライブ 25th アニバーサリーアルバム Vol.1","2014.07.02","consumer","なし",""
"PHANTASY STAR PORTABLE 2 INFINITY ORIGINAL SOUNDTRACK","2013.09.19","consumer","なし",""
"セガ SG-1000 30th アニバーサリーコレクション","2013.07.31","consumer","なし",""
